Week,NV,NE,MA,MI,MN,NJ,MO,MT,NH,MS,NM,NY,NC,SC,OH,OK,OR,PA,RI,ND,SD,TN,TX,WY,VA,WV,VT,WI,WA,UT,AL,AK,AZ,CA,GA,DE,CO,CT,FL,AR,LA,IA,HI,ID,IL,KY,ME,MD,KS,IN
2019-08-11,0,6,8,8,6,5,9,14,5,5,9,8,10,6,11,4,8,9,5,4,12,11,9,8,8,10,10,8,7,7,8,7,8,8,8,5,8,9,6,9,5,9,12,9,8,7,6,10,6,7
2019-08-18,8,4,8,8,9,6,11,5,4,6,9,7,8,8,10,6,12,9,11,3,8,9,8,4,7,8,15,8,9,10,6,15,6,8,9,5,8,6,8,7,11,7,7,6,8,7,8,11,8,7
2019-08-25,7,9,8,8,8,5,10,9,4,8,8,7,7,6,9,7,11,8,13,0,8,8,9,5,9,8,11,9,8,7,6,7,9,8,8,6,10,6,6,7,7,9,6,6,9,7,8,10,6,8
2019-09-01,6,7,8,8,9,6,8,7,9,7,5,7,8,5,8,11,8,9,5,6,17,7,8,0,9,10,9,10,7,8,6,8,8,8,7,8,7,6,6,7,8,9,8,6,7,8,5,10,7,8
2019-09-08,4,7,9,7,12,7,11,7,9,6,10,8,8,7,10,10,10,9,3,5,10,9,7,0,9,9,11,9,7,9,4,7,8,8,7,2,8,7,7,7,7,5,9,7,8,8,17,10,8,7
2019-09-15,5,8,8,9,9,6,10,22,2,5,11,7,10,8,10,9,10,9,10,13,9,9,9,7,9,11,9,8,8,9,9,16,10,8,8,5,9,10,7,9,8,8,11,9,9,12,11,11,7,9
2019-09-22,9,10,9,9,13,6,10,9,10,10,9,8,10,9,11,8,12,11,7,9,12,12,9,6,9,12,25,10,7,10,7,0,9,7,9,5,11,8,7,5,6,6,17,6,7,11,10,9,7,10
2019-09-29,8,9,9,9,10,6,7,11,8,8,6,8,8,8,11,13,9,9,2,5,6,10,10,0,8,11,9,9,9,8,10,6,10,8,9,6,10,7,7,7,9,5,12,3,7,14,15,10,9,8
2019-10-06,8,6,11,8,11,7,9,3,14,9,7,7,8,7,12,11,12,10,8,0,8,11,9,15,9,6,6,11,9,7,9,0,7,9,8,7,9,6,7,6,7,8,8,10,9,10,18,11,5,7
2019-10-13,8,6,10,9,11,7,11,14,8,6,7,8,8,5,12,7,10,10,8,4,5,8,9,13,9,9,11,9,9,8,10,3,8,9,8,7,8,8,8,6,7,8,8,6,8,11,7,11,9,10
2019-10-20,6,7,11,9,8,7,8,9,9,4,12,9,8,8,11,8,11,9,12,10,12,10,8,9,9,9,11,9,9,7,7,9,8,8,8,13,11,8,6,9,8,7,10,9,10,8,12,11,9,9
2019-10-27,4,6,9,8,10,6,9,10,14,5,9,8,8,7,13,9,14,9,12,5,13,10,8,0,9,7,13,9,9,7,8,4,8,9,9,18,10,8,7,6,5,8,6,7,8,7,12,9,7,7
2019-11-03,8,8,11,10,12,5,8,12,9,9,9,8,10,7,11,11,14,10,6,12,4,10,9,5,10,6,23,9,8,7,9,12,10,9,10,9,10,8,8,7,8,5,12,7,10,10,9,12,9,9
2019-11-10,6,6,12,9,12,7,10,8,8,8,8,9,9,6,10,11,13,9,7,5,3,10,8,4,9,10,6,12,8,9,6,5,8,9,9,8,10,10,7,7,7,5,11,7,8,9,17,12,10,9
2019-11-17,6,7,10,8,11,6,9,6,10,5,9,8,8,8,9,10,13,9,10,4,12,11,9,8,10,6,12,11,9,6,8,6,10,9,8,7,9,12,7,8,5,8,9,9,10,9,11,10,8,9
2019-11-24,7,7,9,6,7,7,7,3,15,6,5,6,7,8,7,9,10,8,7,11,10,9,6,7,7,7,0,8,6,5,7,7,6,7,7,7,8,5,5,7,9,5,4,6,7,7,8,8,4,7
2019-12-01,7,3,8,10,12,7,11,10,12,11,7,7,8,6,8,8,13,10,6,9,16,9,9,0,8,7,6,9,9,8,7,15,10,8,8,6,9,9,7,8,5,8,8,6,10,9,12,10,2,8
2019-12-08,6,10,10,10,9,7,8,6,11,9,9,8,8,8,8,8,12,11,9,11,11,10,8,5,8,12,33,7,8,9,8,12,8,9,7,12,10,9,7,8,7,10,7,10,9,9,10,9,8,8
2019-12-15,3,6,7,7,10,7,7,5,8,7,5,8,7,5,9,9,10,8,10,13,5,6,7,0,8,6,16,7,6,5,7,7,5,8,7,8,9,5,5,7,5,5,2,4,9,9,8,11,8,8
2019-12-22,6,5,7,7,8,5,7,11,7,6,6,5,5,7,7,5,6,7,6,5,14,7,6,0,7,4,0,5,6,8,5,7,5,6,6,6,6,7,5,3,9,4,14,3,6,7,6,10,3,6
2019-12-29,7,7,9,6,9,5,6,7,6,6,8,7,7,6,8,6,8,7,7,10,5,8,7,0,6,7,16,6,7,8,6,5,6,7,6,3,9,9,6,7,6,5,4,5,7,5,7,9,7,7
2020-01-05,6,5,9,8,12,6,8,9,7,5,9,8,7,6,9,9,10,10,12,7,4,8,8,0,8,8,12,7,8,6,8,14,9,8,7,9,8,9,6,7,5,7,6,6,7,7,9,12,8,7
2020-01-12,6,5,10,9,8,6,9,7,7,7,11,8,9,6,9,10,10,10,9,9,8,10,9,4,8,8,14,11,9,8,9,0,6,8,8,12,9,10,7,7,7,4,6,8,9,11,8,9,9,10
2020-01-19,7,11,10,8,10,7,10,8,6,8,10,8,8,6,11,11,10,8,9,5,4,9,9,21,9,6,12,9,10,6,9,7,9,9,8,9,9,10,8,10,6,7,10,8,9,7,8,10,5,7
2020-01-26,14,7,12,11,13,8,13,12,12,14,9,10,10,11,15,9,14,11,12,6,12,15,13,4,12,11,16,10,10,10,12,10,10,15,11,9,9,12,9,8,11,6,11,8,11,10,13,14,11,11
2020-02-02,14,10,11,9,10,9,8,8,16,11,8,9,12,7,11,10,15,11,8,6,19,11,13,4,10,11,6,13,11,10,9,3,11,11,11,13,11,10,9,13,11,6,8,10,10,9,16,12,9,9
2020-02-09,9,6,11,10,11,8,9,7,11,8,11,9,10,9,9,10,11,11,9,9,15,13,11,4,10,11,10,9,10,9,9,11,9,11,9,9,12,11,9,14,8,6,14,7,10,9,10,13,9,12
2020-02-16,9,6,11,11,11,6,11,9,18,9,9,9,10,8,10,9,12,11,11,3,5,11,11,12,11,8,21,8,10,9,11,0,9,10,11,12,11,11,7,11,10,11,7,7,8,11,11,14,8,9
