Week,AL,AK,AZ,AR,CA,CO,CT,DE,FL,GA,HI,ID,IL,IN,IA,KS,KY,LA,ME,MD,MA,MI,MN,MS,MO,MT,NE,NV,NH,NJ,NM,NY,NC,ND,OH,OK,OR,PA,RI,SC,SD,TN,TX,UT,VT,VA,WA,WV,WI,WY
2019-09-08,91,55,82,74,77,77,69,59,40,65,71,77,76,76,78,75,77,49,60,84,82,76,80,61,83,68,67,75,70,79,60,84,78,46,80,83,84,86,76,58,47,47,73,72,58,73,78,56,82,66
2019-09-15,86,60,90,67,78,81,78,74,41,66,71,65,76,78,70,86,82,46,70,87,79,72,83,61,84,69,62,82,84,79,66,73,80,58,81,84,83,82,73,74,77,53,73,69,48,72,85,76,77,52
2019-09-22,80,51,85,65,74,85,79,58,43,73,75,90,76,85,82,77,70,46,72,83,86,71,82,70,80,68,55,76,66,77,57,77,79,73,81,84,84,93,77,65,86,49,80,82,48,73,81,99,84,30
2019-09-29,80,66,80,69,73,81,83,74,42,66,71,60,78,91,81,70,80,48,86,81,84,76,76,70,81,79,45,66,68,77,63,77,76,75,88,87,80,89,65,74,63,51,78,73,30,79,84,79,83,60
2019-10-06,82,51,90,82,76,72,74,73,39,65,47,65,78,80,73,72,77,42,70,88,87,80,76,59,72,54,57,77,92,78,69,81,76,70,77,83,90,87,77,73,91,45,74,88,46,80,86,68,92,64
2019-10-13,76,53,96,76,80,84,83,74,41,66,74,87,80,80,82,78,77,43,62,76,87,73,80,63,82,70,66,71,68,82,57,83,80,77,77,93,87,83,58,70,78,42,75,77,54,68,80,59,77,27
2019-10-20,72,84,83,63,71,81,80,54,42,67,52,90,86,80,81,93,82,54,60,87,88,74,82,65,87,69,58,87,63,74,63,80,79,71,80,77,88,88,82,76,52,49,75,74,62,76,83,54,81,59
2019-10-27,73,62,79,59,69,74,73,58,40,66,75,60,72,80,77,72,76,46,76,73,85,78,83,73,75,67,60,74,79,75,68,79,84,53,75,73,86,88,55,79,62,47,70,79,51,74,84,80,85,51
2019-11-03,80,37,86,65,79,80,78,68,40,64,54,83,72,77,89,77,71,46,66,74,81,71,76,64,71,83,61,71,64,73,59,76,71,62,77,67,80,80,56,68,63,48,73,79,50,71,82,70,86,68
2019-11-10,77,71,83,66,76,83,76,50,39,67,69,80,83,75,85,75,71,42,71,79,78,67,77,67,79,66,64,76,78,76,62,81,74,69,73,76,88,84,73,65,71,50,73,83,56,73,81,60,81,55
2019-11-17,93,73,80,73,75,70,85,73,39,69,63,71,86,83,81,77,81,51,67,82,92,79,82,74,88,62,67,65,79,73,56,84,81,86,83,85,81,86,75,73,67,51,77,73,57,77,83,65,95,86
2019-11-24,72,32,67,64,65,64,72,63,34,62,65,53,68,76,75,64,71,43,55,77,74,70,63,45,72,53,57,61,78,76,51,74,72,56,70,72,67,88,72,67,51,45,64,66,57,71,76,60,75,40
2019-12-01,73,56,80,62,74,87,73,85,39,60,49,74,79,75,78,79,80,52,65,86,70,74,73,57,74,68,54,83,73,72,63,78,74,73,80,71,85,83,70,66,59,42,76,77,67,72,83,76,82,48
2019-12-08,75,64,78,54,71,88,76,59,38,63,66,76,79,85,73,76,73,41,83,72,80,74,74,55,78,71,59,83,80,77,57,79,71,49,79,76,84,88,91,65,54,49,72,62,60,70,84,72,77,60
2019-12-15,66,52,72,66,69,75,67,58,34,58,80,62,70,74,78,62,68,39,73,77,75,67,75,51,74,86,45,71,56,72,53,75,66,47,76,69,84,81,76,58,84,47,65,73,43,64,77,65,80,22
2019-12-22,67,42,61,63,60,65,76,49,33,50,58,54,66,70,58,61,61,42,58,75,61,69,63,47,59,53,60,56,57,62,59,65,63,48,63,67,73,66,79,49,40,43,62,63,43,59,64,58,65,32
2019-12-29,73,44,74,54,68,78,73,51,36,55,65,68,71,80,79,58,72,50,75,72,86,71,73,46,80,35,54,67,92,70,56,75,68,57,71,86,80,80,64,78,44,40,66,77,55,66,76,69,73,46
2020-01-05,88,79,80,56,69,85,82,46,36,64,66,73,84,74,82,79,78,50,82,73,89,74,77,65,79,71,52,76,81,71,60,77,78,52,83,80,88,88,60,63,48,50,76,75,48,72,83,71,80,79
2020-01-12,76,50,82,69,76,84,81,62,40,64,76,77,82,73,82,69,70,47,63,74,83,73,76,61,64,74,50,80,84,79,55,81,80,72,82,70,91,86,89,72,79,49,75,71,57,72,76,63,88,49
2020-01-19,70,59,73,76,72,91,91,65,40,68,75,70,77,81,76,74,79,43,53,77,74,80,82,58,79,88,59,83,74,73,72,79,76,43,88,76,88,79,72,71,65,45,75,83,36,67,92,80,79,38
