Week,NV,NE,MA,MI,MN,NJ,MO,MT,NH,MS,NM,NY,NC,SC,OH,OK,OR,PA,RI,ND,SD,TN,TX,WY,VA,WV,VT,WI,WA,UT,AL,AK,AZ,CA,GA,DE,CO,CT,FL,AR,LA,IA,HI,ID,IL,KY,ME,MD,KS,IN
2019-12-01,71,66,74,74,77,72,65,75,75,58,67,86,74,68,79,69,76,77,74,67,93,75,71,82,75,74,68,73,76,70,68,60,77,69,70,71,68,83,73,76,66,73,67,69,72,66,75,74,71,67
2019-12-08,75,63,78,64,75,67,65,66,74,72,64,73,67,63,72,63,73,70,60,60,71,72,70,63,72,73,80,72,80,64,70,81,65,63,73,60,69,72,63,65,69,70,78,63,67,79,93,77,69,70
2019-12-15,67,63,73,64,71,64,58,63,68,57,59,76,67,67,68,64,67,69,66,56,74,66,64,66,68,61,71,71,74,61,71,72,63,59,65,60,65,73,59,65,58,64,67,57,65,70,66,66,55,69
2019-12-22,49,46,54,47,48,48,49,47,46,58,48,58,49,45,56,46,57,51,58,32,39,52,51,36,58,53,44,52,56,45,52,48,49,50,51,47,55,56,47,47,46,51,46,35,48,51,58,54,52,52
2019-12-29,57,62,59,60,62,60,60,65,59,53,58,77,64,61,62,67,70,63,72,39,70,60,62,59,72,51,68,56,68,62,60,56,60,56,61,58,65,61,56,56,58,53,52,57,57,61,72,64,55,59
2020-01-05,77,70,80,74,74,83,69,66,87,69,66,78,75,72,74,69,72,81,54,74,72,84,77,74,75,69,71,70,78,76,69,69,74,64,73,60,66,76,66,77,71,66,64,73,73,80,73,74,75,73
2020-01-12,81,69,81,80,69,80,66,84,73,72,62,86,82,76,81,72,78,81,74,66,74,79,74,61,76,69,69,77,79,71,88,58,77,70,80,70,78,83,70,67,77,65,68,68,78,84,85,76,66,75
2020-01-19,88,63,78,75,74,78,70,83,77,76,76,80,77,75,80,68,81,77,76,66,70,82,77,77,87,81,57,75,83,81,81,73,76,66,78,74,76,86,70,80,73,73,73,79,78,82,73,67,66,75
2020-01-26,70,74,77,69,77,82,73,84,71,82,73,77,79,75,80,78,83,82,69,89,71,82,79,71,80,70,82,77,84,76,81,81,78,64,77,74,75,84,69,73,81,72,63,75,78,79,76,76,66,71
2020-02-02,71,78,89,74,77,78,70,79,81,69,72,76,74,73,78,72,75,83,64,73,78,84,73,78,84,69,54,74,84,67,76,64,74,73,76,76,72,76,70,71,73,66,74,74,75,76,84,82,70,72
2020-02-09,72,70,91,75,78,78,68,77,72,77,68,78,80,71,78,75,78,83,68,61,65,87,73,64,81,76,68,75,81,71,75,68,77,70,80,79,78,77,68,80,73,65,79,83,73,86,73,81,77,79
2020-02-16,83,77,79,82,76,78,76,92,81,66,81,82,79,71,78,74,89,85,68,83,72,88,78,67,87,80,74,74,80,66,81,100,76,67,79,77,86,84,69,79,78,74,65,78,80,86,86,82,82,78
2020-02-23,71,77,79,78,77,75,71,75,73,72,61,83,76,72,79,77,81,84,64,69,73,82,73,71,89,78,70,76,86,70,79,71,79,74,72,62,76,82,67,78,65,69,81,68,79,75,74,76,79,72
2020-03-01,78,78,82,73,77,74,74,76,73,69,76,75,78,74,81,79,72,76,65,88,98,74,73,64,84,67,55,69,75,69,79,77,73,68,78,68,74,75,63,77,81,68,78,64,74,74,79,78,69,71
2020-03-08,68,56,68,63,62,66,63,62,67,59,61,68,69,65,68,70,73,68,71,63,55,75,59,77,70,75,61,62,70,59,74,60,66,61,72,65,61,69,60,72,69,61,64,63,67,72,76,72,66,72
2020-03-15,60,50,57,54,59,56,54,57,54,65,59,62,56,58,60,52,54,63,53,53,63,61,59,56,69,65,59,54,65,53,59,49,55,51,56,47,52,68,53,59,64,51,49,59,55,76,56,61,52,55
2020-03-22,54,54,57,52,51,51,46,48,61,51,52,53,58,54,57,59,46,55,49,48,60,60,58,59,61,61,46,53,54,47,56,42,53,46,52,52,51,55,52,54,54,48,45,50,52,59,51,55,52,52
2020-03-29,55,46,47,45,49,53,48,46,45,62,49,50,57,51,51,44,47,52,54,49,35,55,54,49,54,53,47,49,46,49,51,46,51,49,51,55,46,51,48,55,47,46,55,39,49,51,60,50,55,56
2020-04-05,45,46,45,48,54,46,47,49,43,51,44,53,52,49,51,48,47,50,50,38,52,55,52,52,58,38,55,55,48,45,51,53,49,46,54,45,45,49,50,48,47,45,46,47,49,51,60,50,51,47
