Week,NV,NE,MA,MI,MN,NJ,MO,MT,NH,MS,NM,NY,NC,SC,OH,OK,OR,PA,RI,ND,SD,TN,TX,WY,VA,WV,VT,WI,WA,UT,AL,AK,AZ,CA,GA,DE,CO,CT,FL,AR,LA,IA,HI,ID,IL,KY,ME,MD,KS,IN
2019-11-10,15,7,17,12,13,14,10,6,19,7,13,16,11,9,10,7,22,13,14,12,3,10,10,0,12,7,18,13,14,13,7,13,14,16,13,12,16,16,12,10,8,9,19,12,13,9,19,13,8,9
2019-11-17,11,10,20,11,12,14,10,13,17,8,11,15,12,10,12,9,15,11,12,5,8,10,10,0,12,8,15,11,13,13,10,0,15,16,14,16,17,16,12,8,9,10,8,10,11,9,16,12,9,10
2019-11-24,12,4,16,10,14,12,7,9,10,8,7,13,9,8,10,7,16,9,14,5,12,10,9,6,10,5,8,10,11,11,6,4,11,12,10,9,13,14,9,9,8,6,11,16,11,8,16,11,7,10
2019-12-01,11,9,16,11,15,12,9,7,14,9,15,15,12,9,10,9,14,13,16,0,8,8,10,10,11,8,18,13,14,14,7,11,11,16,11,6,14,14,11,9,8,7,17,12,11,9,16,13,11,10
2019-12-08,11,6,14,9,12,13,10,15,11,7,16,15,11,8,12,10,17,12,14,3,11,7,10,10,10,3,15,10,14,13,8,8,12,15,11,9,14,15,11,5,12,8,18,8,10,10,13,14,8,9
2019-12-15,17,6,14,10,13,15,7,11,13,5,10,13,10,9,11,6,14,11,9,0,12,9,10,10,10,6,13,13,14,13,4,10,12,15,11,6,16,16,11,6,10,9,14,6,10,12,18,11,9,8
2019-12-22,10,10,11,9,12,11,9,9,18,7,10,12,10,7,10,6,12,9,6,0,7,10,8,9,10,9,15,11,11,12,5,7,12,12,10,5,13,15,11,5,8,6,12,10,10,10,17,9,9,11
2019-12-29,14,7,17,12,15,15,12,5,25,7,19,15,13,10,12,10,16,13,14,6,9,9,11,4,12,10,17,16,15,10,9,5,13,17,13,14,16,20,13,8,8,10,17,11,13,8,20,15,9,10
2020-01-05,17,7,20,12,15,16,12,6,20,4,18,16,11,11,15,9,18,14,16,4,0,11,11,0,12,9,19,17,12,13,10,6,14,17,13,15,18,16,14,6,12,6,20,13,13,9,14,14,5,10
2020-01-12,12,8,18,12,13,15,11,11,20,8,15,17,12,8,13,9,13,14,15,0,14,10,11,15,11,4,17,15,13,16,9,13,14,16,12,8,17,17,12,7,8,7,16,10,13,14,19,13,6,11
2020-01-19,14,10,18,13,16,14,10,9,21,8,12,16,12,8,13,6,17,11,10,13,9,12,11,6,12,9,27,14,13,16,7,12,11,17,12,19,15,17,12,9,12,9,12,7,13,11,15,13,6,13
2020-01-26,15,10,19,11,16,15,12,22,16,10,10,16,11,8,13,9,20,13,14,5,8,11,10,11,13,8,20,14,13,15,6,9,12,17,12,10,16,18,13,9,8,9,14,7,13,10,16,13,7,11
2020-02-02,14,8,16,11,16,15,10,10,15,9,11,17,12,8,14,7,16,12,17,7,8,10,10,6,13,8,16,14,13,13,8,13,13,17,13,14,19,17,13,9,11,9,18,7,12,10,7,14,7,11
2020-02-09,13,10,18,11,14,16,13,13,14,8,16,15,14,11,12,12,17,11,16,5,9,12,11,11,11,7,14,13,11,14,9,9,12,16,11,12,16,19,13,8,10,11,18,14,12,9,15,11,7,10
