Week,AL,AK,AZ,AR,CA,CO,CT,DE,FL,GA,HI,ID,IL,IN,IA,KS,KY,LA,ME,MD,MA,MI,MN,MS,MO,MT,NE,NV,NH,NJ,NM,NY,NC,ND,OH,OK,OR,PA,RI,SC,SD,TN,TX,UT,VT,VA,WA,WV,WI,WY
2019-12-08,29,7,23,17,20,29,19,0,11,21,12,19,22,23,23,21,21,14,12,17,23,18,19,17,20,15,19,27,8,20,15,22,27,16,24,20,28,23,15,18,27,15,21,27,0,20,23,20,24,9
2019-12-15,22,11,22,21,18,30,17,21,10,19,33,21,21,25,26,24,22,9,11,20,17,21,21,13,15,22,13,26,18,16,18,20,22,7,19,14,22,19,14,18,23,14,18,31,9,22,22,20,19,41
2019-12-22,20,0,20,16,19,25,21,21,9,17,23,16,20,20,11,16,16,9,10,16,21,18,20,19,18,18,22,20,24,18,21,20,21,14,18,22,32,20,21,17,0,14,18,24,18,19,16,19,19,10
2019-12-29,26,17,19,15,20,29,19,28,11,28,11,18,21,21,29,19,20,15,16,20,22,21,20,22,21,25,20,24,23,22,12,21,23,14,21,23,31,21,15,26,10,14,22,16,16,24,23,17,27,7
2020-01-05,18,24,20,19,19,27,21,13,10,18,19,24,22,20,16,23,21,12,15,21,19,18,19,17,26,13,11,19,11,18,6,21,20,40,23,29,26,22,9,21,20,14,18,25,0,19,25,13,22,0
2020-01-12,20,25,22,17,19,25,16,19,10,21,0,15,22,22,17,19,18,11,8,18,22,20,22,16,20,24,13,20,12,18,17,21,28,8,23,21,26,21,14,17,28,13,19,18,18,25,23,23,20,25
2020-01-19,22,11,23,21,20,30,18,12,10,19,19,24,23,23,19,14,17,10,22,23,22,17,19,15,20,19,11,20,11,23,13,20,23,18,24,20,27,24,14,18,12,12,20,26,6,20,26,30,21,11
2020-01-26,23,30,21,17,22,25,22,13,11,20,14,23,24,27,23,17,20,13,25,23,24,24,22,15,23,15,13,28,12,21,16,22,20,15,24,28,27,24,17,23,13,16,23,23,6,23,24,19,20,0
2020-02-02,26,6,22,14,21,23,18,17,10,22,19,12,23,24,18,13,23,10,19,22,23,23,19,18,22,18,10,14,20,20,19,20,24,7,24,24,21,21,16,17,34,15,20,16,20,18,26,18,24,9
2020-02-09,22,21,19,18,20,31,17,15,10,17,16,23,21,26,24,12,22,11,17,20,22,22,18,19,23,21,18,29,13,22,17,22,24,17,24,24,26,22,17,16,31,13,22,29,13,25,24,16,24,12
2020-02-16,30,13,20,27,22,26,16,23,11,16,22,20,22,25,17,21,23,9,15,19,20,21,22,12,21,25,14,17,10,24,23,22,22,26,22,26,20,21,17,16,22,15,20,23,15,21,24,17,18,0
2020-02-23,24,26,24,21,25,33,20,26,13,20,28,26,23,22,20,21,20,12,17,24,25,25,24,16,20,20,26,27,11,27,23,27,24,13,25,24,30,29,20,18,20,13,23,21,16,26,31,19,27,24
2020-03-01,25,35,30,25,34,37,28,17,14,26,30,34,26,27,20,22,23,14,19,28,29,25,26,12,24,23,22,35,28,28,18,29,30,18,29,24,35,28,15,19,7,17,28,36,24,29,47,14,26,20
2020-03-08,35,47,50,41,47,50,39,11,17,35,41,47,43,41,34,43,35,20,42,32,42,41,32,27,37,40,32,52,46,39,33,37,37,33,41,40,51,38,32,29,38,25,40,55,37,36,47,40,41,26
2020-03-15,35,49,49,37,46,48,30,16,17,28,36,46,37,39,37,35,32,17,36,33,34,37,36,25,30,37,27,53,32,36,36,37,33,21,39,39,53,37,28,29,27,21,35,47,34,35,43,29,38,28
2020-03-22,27,25,31,20,27,35,24,11,13,27,26,18,29,28,35,28,18,16,19,25,28,28,24,28,28,21,19,34,29,26,19,29,30,8,30,28,28,28,14,24,31,16,25,30,29,31,31,20,25,21
2020-03-29,23,28,26,24,27,30,25,22,14,24,19,26,26,25,19,20,26,14,26,29,27,25,25,23,29,16,19,26,31,30,22,29,27,19,31,26,30,28,21,25,9,16,28,27,21,25,31,14,29,18
2020-04-05,30,23,27,20,26,28,24,15,12,26,10,18,26,24,18,19,22,15,27,24,26,24,19,17,21,16,16,38,25,26,17,28,26,11,27,33,21,24,22,24,16,16,24,23,24,23,28,21,26,0
2020-04-12,24,19,25,17,25,30,19,23,13,20,28,23,25,25,17,22,23,13,24,26,27,24,19,17,25,26,18,30,21,22,11,24,25,21,25,19,26,25,26,21,16,16,24,26,8,21,27,18,24,17
2020-04-19,24,9,25,18,25,29,24,23,13,23,34,17,24,24,28,19,24,14,19,23,24,22,24,17,20,23,14,25,22,24,22,24,24,9,24,26,34,25,23,25,13,13,23,24,15,23,28,10,25,0
2020-04-26,25,23,31,16,24,30,20,13,13,24,23,18,26,23,21,21,23,19,19,24,25,21,20,21,23,31,16,28,20,21,19,25,26,15,25,28,25,28,24,22,10,15,22,25,23,21,25,21,23,25
2020-05-03,19,31,21,23,23,23,20,21,12,18,20,15,25,21,19,20,25,12,26,23,23,24,19,10,21,25,14,20,6,24,12,26,24,12,25,21,23,25,13,22,19,14,23,18,11,21,22,16,26,17
2020-05-10,32,29,26,17,23,33,21,20,12,17,22,19,26,26,17,18,22,10,21,22,23,21,24,20,26,18,19,28,26,26,19,24,27,18,23,23,26,25,17,23,11,16,21,26,7,24,28,23,28,15
2020-05-17,19,19,21,25,23,25,18,21,13,21,24,25,21,26,22,23,21,14,23,20,21,21,21,12,22,11,16,25,20,24,14,23,24,16,21,27,26,22,20,21,19,14,21,27,24,21,24,21,19,6
