Week,AL,AK,AZ,AR,CA,CO,CT,DE,FL,GA,HI,ID,IL,IN,IA,KS,KY,LA,ME,MD,MA,MI,MN,MS,MO,MT,NE,NV,NH,NJ,NM,NY,NC,ND,OH,OK,OR,PA,RI,SC,SD,TN,TX,UT,VT,VA,WA,WV,WI,WY
2020-07-19,65,37,58,49,60,60,59,53,32,50,59,59,54,62,48,54,46,47,43,62,61,57,48,50,55,42,39,57,40,49,42,55,59,44,58,63,57,51,42,48,31,33,81,50,34,53,60,49,57,31
2020-07-26,58,61,54,52,54,53,50,64,36,51,53,52,54,52,56,52,54,34,34,55,47,49,52,40,53,55,42,56,50,54,52,51,59,31,56,58,58,50,40,52,28,35,62,52,36,49,55,56,62,57
2020-08-02,55,41,56,49,57,58,52,32,32,46,52,53,54,61,42,55,52,36,44,57,60,50,53,44,62,55,43,61,46,50,50,54,54,31,57,59,63,53,29,48,39,34,56,45,35,59,69,50,56,49
2020-08-09,62,42,64,45,51,51,43,49,33,47,61,43,48,54,48,47,47,31,38,60,51,48,53,41,59,43,45,57,48,51,43,54,61,37,51,47,53,56,38,52,32,34,57,55,46,59,60,47,56,31
2020-08-16,67,43,59,56,51,61,54,59,57,55,43,55,54,69,49,64,56,53,47,58,58,55,52,56,57,56,47,54,55,54,44,53,60,39,57,65,61,55,34,55,18,42,82,56,30,56,59,50,50,57
2020-08-23,56,48,64,60,53,59,46,46,32,51,60,39,51,63,42,54,65,43,39,54,52,50,52,54,53,47,39,64,60,51,54,51,66,36,51,45,64,54,41,49,44,43,60,45,32,55,58,51,56,50
2020-08-30,60,46,67,53,57,58,48,46,32,51,65,46,56,61,61,60,54,39,36,51,56,50,53,51,61,84,49,61,52,49,48,52,63,47,59,62,52,59,46,52,55,37,55,63,26,52,58,52,53,42
2020-09-06,72,66,68,57,56,59,56,52,43,53,77,69,59,68,62,58,64,49,36,61,56,51,51,61,65,38,53,64,47,50,48,52,63,61,62,68,42,62,52,58,65,39,63,54,33,57,51,47,63,37
2020-09-13,70,52,68,60,59,58,59,35,35,59,81,54,58,65,67,68,68,48,49,65,54,54,58,65,64,48,47,63,50,55,47,54,65,52,68,64,46,59,47,77,47,42,78,58,44,60,57,46,65,67
2020-09-20,60,46,67,58,62,65,58,50,32,53,68,59,57,71,65,72,63,38,59,70,58,56,53,63,65,63,47,70,50,58,59,57,64,44,65,62,59,59,42,61,53,38,68,63,53,63,62,64,67,34
